,CR_id,amount,CR_status,CR_created_at,CR_updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update,F_id,type,F_status,category,total_amount,reason,F_created_at,F_updated_at,paid_at,from_date,to_date,charge_moment
11098,2984,100.0,money_back,2020-06-11 08:20:45.337723+00,2020-12-18 13:08:39.929008+00,5038.0,2020-06-11 12:42:33.447037+00,,2020-07-02 22:00:00+00,2020-06-13,2020-07-04 03:14:21.171755+00,regular,,,,,,,,,,,,,,,,
11103,6366,50.0,money_back,2020-07-02 23:20:28.335156+00,2020-12-18 13:08:39.997122+00,24115.0,2020-07-03 10:35:07.718591+00,,2020-08-06 22:00:00+00,2020-07-06,2020-08-06 22:00:00+00,regular,,,,,,,,,,,,,,,,
11128,8447,100.0,money_back,2020-07-16 10:16:37.070034+00,2020-12-18 13:08:40.077924+00,33848.0,2020-07-17 13:03:07.386889+00,,2020-07-30 22:00:00+00,2020-07-21,2020-07-30 22:00:00+00,regular,,,,,,,,,,,,,,,,
11129,1465,100.0,direct_debit_rejected,2020-04-29 23:18:06.272611+00,2020-12-20 22:09:49.240859+00,7895.0,2020-04-30 10:42:17.801628+00,,2020-05-13 22:00:00+00,2020-05-03,2020-06-11 22:00:18.394926+00,regular,,pending,2020-12-13 22:33:20.015498+00,2020-12-20 22:09:49.256299+00,,,,,,,,,,,,
11130,5355,50.0,money_back,2020-06-25 15:49:34.819646+00,2020-12-18 13:08:40.116738+00,14987.0,2020-06-26 10:50:34.725804+00,,2020-08-04 22:00:00+00,2020-07-02,2020-08-03 00:32:28.254231+00,regular,,,,,,,,,,,,,,,,
11133,20556,100.0,money_back,2020-10-12 08:35:30.979241+00,2020-12-18 13:08:40.20212+00,44381.0,,,2020-11-05 09:34:00+00,2020-10-20,2020-11-05 20:22:53.95971+00,regular,2020-10-19 08:35:30.976566+00,,,,,,,,,,,,,,,
11134,652,100.0,direct_debit_rejected,2020-02-10 00:08:53.797843+00,2020-12-20 22:57:24.510101+00,1581.0,2020-02-10 09:09:11.983469+00,,2020-03-03 23:00:00+00,2020-02-12,,regular,,pending,2020-12-13 22:41:26.888734+00,2020-12-20 22:57:24.524769+00,,,,,,,,,,,,
11140,5916,100.0,money_back,2020-06-30 10:37:26.646983+00,2020-12-18 13:08:40.247752+00,2649.0,2020-06-30 15:51:39.307904+00,,2020-07-28 22:00:00+00,2020-07-02,2020-07-29 22:00:00+00,regular,,,,,,,,,,,,,,,,
11141,26430,100.0,money_back,2020-10-30 16:55:28.238813+00,2021-01-05 16:38:06.906247+00,15462.0,2020-10-31 14:49:36.168461+00,,2020-11-14 16:55:27.409+00,2020-11-03,2021-01-05 16:38:06.889162+00,regular,2020-11-06 16:55:28.236246+00,completed,2020-11-25 22:18:09.985845+00,2021-01-05 16:38:06.892827+00,,,,,,,,,,,,
11142,544,100.0,direct_debit_rejected,2020-01-29 13:23:12.185397+00,2020-12-20 22:53:39.120192+00,2418.0,2020-01-29 14:39:52.760926+00,,2020-04-05 22:00:00+00,2020-01-30,,regular,,pending,2020-12-13 22:41:22.929274+00,2020-12-20 22:53:39.138539+00,,,,,,,,,,,,
11143,8448,100.0,money_back,2020-07-16 10:20:01.028349+00,2020-12-18 13:08:40.272558+00,2672.0,2020-07-17 13:03:38.639906+00,,2020-08-10 10:20:24.353+00,2020-07-21,2020-08-11 22:00:00+00,regular,,,,,,,,,,,,,,,,
11144,4024,100.0,money_back,2020-06-18 19:03:42.827679+00,2020-12-18 13:09:03.562704+00,8644.0,2020-06-19 11:14:29.586857+00,,2020-07-07 22:00:00+00,2020-06-23,2020-07-07 22:00:00+00,regular,,,,,,,,,,,,,,,,
11145,6604,100.0,money_back,2020-07-04 16:41:48.247263+00,2020-12-18 13:09:03.59081+00,11127.0,2020-07-05 18:19:38.810489+00,,2020-07-29 22:00:00+00,2020-07-07,2020-07-29 22:00:00+00,regular,,,,,,,,,,,,,,,,
11156,2877,100.0,money_back,2020-06-10 09:07:53.729794+00,2020-12-18 13:08:40.342713+00,8104.0,2020-06-10 10:32:58.948537+00,,2020-07-04 22:00:00+00,2020-06-12,2020-07-07 15:07:53.063428+00,regular,,,,,,,,,,,,,,,,
11157,5112,100.0,money_back,2020-06-25 10:49:26.512843+00,2020-12-18 13:08:40.357114+00,21773.0,2020-06-25 13:15:53.132212+00,,2020-07-30 22:00:00+00,2020-06-27,2020-07-30 22:00:00+00,regular,,,,,,,,,,,,,,,,
11159,398,100.0,direct_debit_rejected,2020-01-07 17:34:16.335575+00,2020-12-20 22:54:18.086576+00,2298.0,2020-01-08 07:05:39.086088+00,,2020-03-05 23:00:00+00,2020-01-09,,regular,,pending,2020-12-13 22:41:17.284523+00,2020-12-20 22:54:18.101028+00,,,,,,,,,,,,
11161,1010,100.0,rejected,2020-03-30 14:22:44.113272+00,2020-03-30 15:17:17.691878+00,,2020-03-30 15:17:17.688112+00,21228.0,2020-04-29 14:22:44.112842+00,,,regular,,,,,,,,,,,,,,,,
11171,5515,100.0,money_back,2020-06-26 15:53:45.78191+00,2020-12-18 13:08:40.393794+00,22796.0,2020-06-26 17:39:41.155945+00,,2020-07-04 22:00:00+00,2020-06-30,2020-07-07 15:19:49.707283+00,regular,,,,,,,,,,,,,,,,
11172,3538,100.0,rejected,2020-06-16 17:50:57.147503+00,2020-06-17 10:31:06.936589+00,,2020-06-17 10:31:06.932694+00,21235.0,2020-07-05 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
11173,5461,100.0,money_back,2020-06-26 10:55:01.194767+00,2020-12-18 13:08:40.405693+00,21697.0,2020-06-26 17:25:14.503136+00,,2020-08-03 10:00:00+00,2020-06-30,2020-08-04 22:00:00+00,regular,,,,,,,,,,,,,,,,
11186,5823,50.0,money_back,2020-06-29 17:28:08.285467+00,2020-12-18 13:08:40.429248+00,6511.0,2020-06-30 11:27:01.190038+00,,2020-07-14 22:00:00+00,2020-07-02,2020-07-14 22:00:00+00,regular,,,,,,,,,,,,,,,,
11187,4987,100.0,money_back,2020-06-24 15:04:54.846635+00,2020-12-18 13:08:40.439584+00,11291.0,2020-06-24 16:04:55.407028+00,,2020-07-04 22:00:00+00,2020-06-27,2020-07-07 15:23:28.615633+00,regular,,,,,,,,,,,,,,,,
11188,17637,100.0,rejected,2020-09-24 11:05:49.148716+00,2020-09-24 11:32:18.191898+00,,2020-09-24 11:32:18.181912+00,21275.0,2020-10-28 22:00:00+00,,,instant,2020-10-01 11:05:49.106276+00,,,,,,,,,,,,,,,
11189,3001,100.0,money_back,2020-06-11 10:36:32.612268+00,2020-12-18 13:08:40.462454+00,9532.0,2020-06-11 11:03:47.909003+00,,2020-07-03 22:00:00+00,2020-06-12,2020-07-07 15:47:26.23039+00,regular,,,,,,,,,,,,,,,,
11192,5002,100.0,money_back,2020-06-24 16:06:03.590944+00,2020-12-18 13:08:40.478997+00,9547.0,2020-06-25 11:08:37.35103+00,,2020-07-04 22:00:00+00,2020-06-27,2020-07-07 15:12:47.120684+00,regular,,,,,,,,,,,,,,,,
11193,4881,100.0,money_back,2020-06-23 19:56:24.234099+00,2020-12-18 13:08:40.492889+00,14378.0,2020-06-24 10:06:12.554907+00,,2020-07-03 22:00:00+00,2020-06-27,2020-07-07 15:37:22.862298+00,regular,,,,,,,,,,,,,,,,
11195,3671,100.0,money_back,2020-06-17 16:13:53.254984+00,2020-12-18 13:08:40.521929+00,8600.0,2020-06-18 09:50:26.98912+00,,2020-07-03 22:00:00+00,2020-06-19,2020-07-07 15:43:38.752623+00,regular,,,,,,,,,,,,,,,,
11196,4521,100.0,money_back,2020-06-21 15:51:52.896618+00,2020-12-18 13:08:40.532197+00,19871.0,2020-06-22 17:06:20.226442+00,,2020-07-05 22:00:00+00,2020-06-24,2020-07-07 15:47:57.454832+00,regular,,,,,,,,,,,,,,,,
11197,3923,100.0,money_back,2020-06-18 12:33:00.810561+00,2020-12-18 13:08:40.540237+00,15449.0,2020-06-18 12:39:53.984775+00,,2020-07-06 22:00:00+00,2020-06-19,2020-07-07 22:00:00+00,regular,,,,,,,,,,,,,,,,
11198,5826,100.0,money_back,2020-06-29 17:48:30.207832+00,2020-12-18 13:08:40.5497+00,24183.0,2020-06-30 11:28:09.133089+00,,2020-07-14 22:00:00+00,2020-07-02,2020-07-14 22:00:00+00,regular,,,,,,,,,,,,,,,,
11199,10575,100.0,rejected,2020-08-02 14:39:42.593409+00,2020-08-02 16:29:56.528413+00,,2020-08-02 16:29:56.526108+00,21386.0,2020-08-24 22:00:00+00,,,instant,2020-08-09 14:39:42.592792+00,,,,,,,,,,,,,,,
11241,5425,50.0,money_back,2020-06-26 06:57:08.339532+00,2020-12-18 13:08:40.592679+00,,2020-06-26 12:52:08.705632+00,4083.0,2020-07-06 22:00:00+00,2020-06-29,2020-07-14 15:03:12.408876+00,regular,,,,,,,,,,,,,,,,
11242,4227,100.0,money_back,2020-06-19 15:18:31.596679+00,2020-12-18 13:08:40.601706+00,16711.0,2020-06-19 16:35:55.386309+00,,2020-06-27 22:00:00+00,2020-06-22,2020-06-30 08:46:01.033717+00,regular,,,,,,,,,,,,,,,,
11243,4299,50.0,money_back,2020-06-19 21:35:04.627124+00,2020-12-18 13:08:40.612914+00,16891.0,2020-06-20 14:17:44.881526+00,,2020-07-01 22:00:00+00,2020-06-23,2020-07-03 03:17:25.473918+00,regular,,,,,,,,,,,,,,,,
11249,21996,100.0,rejected,2020-10-18 17:38:48.011591+00,2020-10-19 07:42:06.985392+00,,2020-10-19 07:42:06.978156+00,21453.0,2020-11-13 22:00:00+00,,,instant,2020-10-18 17:38:55.606983+00,,,,,,,,,,,,,,,
11250,4445,100.0,money_back,2020-06-21 00:18:08.939954+00,2020-12-18 13:08:40.63547+00,19626.0,2020-06-21 16:29:03.346818+00,,2020-07-04 22:00:00+00,2020-06-23,2020-07-07 15:13:37.162284+00,regular,,,,,,,,,,,,,,,,
11253,3964,100.0,money_back,2020-06-18 15:10:04.095751+00,2020-12-18 13:08:40.6621+00,18515.0,2020-06-18 16:51:09.790568+00,,2020-07-05 22:00:00+00,2020-06-20,2020-07-07 15:13:02.588482+00,regular,,,,,,,,,,,,,,,,
11254,6369,100.0,money_back,2020-07-02 23:26:16.554856+00,2020-12-18 13:08:40.670127+00,4778.0,2020-07-03 10:35:58.247971+00,,2020-07-27 22:00:00+00,2020-07-07,2020-07-29 22:00:00+00,regular,,,,,,,,,,,,,,,,
11255,929,100.0,rejected,2020-03-17 12:03:07.884533+00,2020-03-17 16:19:42.608498+00,,2020-03-17 16:19:42.604383+00,21543.0,2020-04-11 23:00:00+00,,,regular,,,,,,,,,,,,,,,,
11258,26274,50.0,money_back,2020-10-30 07:50:51.501268+00,2021-02-03 02:22:19.284631+00,99283.0,,,2020-11-14 07:50:40.79+00,2020-11-09,2021-02-03 02:22:19.213954+00,regular,2020-11-06 07:50:51.496761+00,completed,2020-11-22 22:41:05.686278+00,2021-02-03 02:22:19.218353+00,,,,,,,,,,,,
11266,4427,100.0,money_back,2020-06-20 19:07:27.923687+00,2020-12-18 13:08:40.678724+00,18027.0,2020-06-21 16:20:23.180349+00,,2020-07-03 22:00:00+00,2020-06-23,2020-07-07 15:20:10.175738+00,regular,,,,,,,,,,,,,,,,
11300,2108,50.0,rejected,2020-05-21 19:07:16.407135+00,2020-05-22 08:51:24.150946+00,,2020-05-22 08:51:24.14603+00,27035.0,2020-06-07 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
11301,3078,100.0,money_back,2020-06-12 01:35:58.123613+00,2020-12-18 13:08:40.695379+00,6379.0,2020-06-12 11:55:02.559272+00,,2020-07-05 22:00:00+00,2020-06-16,2020-07-07 15:39:48.131503+00,regular,,,,,,,,,,,,,,,,
11319,4235,100.0,money_back,2020-06-19 15:48:02.103949+00,2020-12-18 13:08:40.70468+00,10323.0,2020-06-19 17:12:22.639189+00,,2020-07-08 22:00:00+00,2020-06-23,2020-07-08 22:00:00+00,regular,,,,,,,,,,,,,,,,
11334,19325,100.0,money_back,2020-10-05 19:25:33.711201+00,2021-01-01 07:31:05.556515+00,55121.0,,,2020-11-04 22:00:00+00,2020-10-14,2021-01-01 07:31:05.500331+00,regular,2020-10-12 19:25:33.659236+00,completed,2020-11-15 22:45:12.097311+00,2021-01-01 07:31:05.505523+00,,,,,,,,,,,,
11349,19093,50.0,direct_debit_rejected,2020-10-03 16:49:51.234124+00,2020-12-17 22:41:43.012028+00,59902.0,2020-10-04 17:42:22.550231+00,,2020-11-04 23:51:00+00,2020-10-13,2020-12-04 16:07:57.664733+00,regular,2020-10-10 16:49:51.212842+00,pending,2020-11-15 22:52:22.639858+00,2020-12-17 22:41:43.026597+00,,,,,,,,,,,,
11357,10100,100.0,rejected,2020-07-30 11:01:17.512518+00,2020-07-30 11:44:22.280269+00,,2020-07-30 11:44:22.277628+00,21561.0,2020-08-31 22:00:00+00,,,instant,2020-08-06 11:01:17.512108+00,,,,,,,,,,,,,,,
11366,15835,100.0,money_back,2020-09-12 10:25:50.522099+00,2020-12-18 13:08:40.771463+00,3383.0,2020-09-12 12:59:20.575952+00,,2020-10-05 22:00:00+00,2020-09-22,2020-10-06 19:41:37.846097+00,regular,2020-09-19 10:25:50.472116+00,,,,,,,,,,,,,,,
11367,10987,50.0,rejected,2020-08-05 15:27:20.457727+00,2020-08-05 15:41:09.958862+00,,2020-08-05 15:41:09.956506+00,21631.0,2020-08-19 15:27:38.427+00,,,regular,2020-08-12 15:27:20.457222+00,,,,,,,,,,,,,,,
11368,12372,50.0,rejected,2020-08-13 15:21:44.956497+00,2020-08-14 07:08:21.821427+00,,2020-08-14 07:08:21.817188+00,21631.0,2020-08-27 15:21:53.999+00,,,instant,2020-08-20 15:21:44.92049+00,,,,,,,,,,,,,,,
11369,13565,50.0,rejected,2020-08-22 10:31:46.696464+00,2020-08-22 14:53:57.342533+00,,2020-08-22 14:53:57.335162+00,21631.0,2020-09-05 10:31:55.053+00,,,instant,2020-08-29 10:31:46.65373+00,,,,,,,,,,,,,,,
11372,3595,100.0,money_back,2020-06-17 08:09:53.229925+00,2020-12-18 13:08:40.810347+00,1106.0,2020-06-17 11:16:29.604459+00,,2020-07-05 22:00:00+00,2020-06-18,2020-07-07 15:21:44.463164+00,regular,,,,,,,,,,,,,,,,
11381,8666,100.0,rejected,2020-07-17 13:07:50.938212+00,2020-07-17 13:38:28.942856+00,,2020-07-17 13:38:28.940006+00,22262.0,2020-07-28 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
